label,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100
3,3518,2552,18,16,14,18,18,17,16,16,24,16,16,2114,2688,2194,3272,841,16,15,16,25,3305,2190,17,17,16,1205,2988,2568,2424,137,17,18,18,17,18,17,2331,1784,678,786,1925,1688,18,17,17,17,18,18,18,456,2041,3130,2842,2720,2030,21,17,17,18,18,1530,3046,2485,566,18,18,19,19,18,18,18,28,267,274,526,1559,1552,515,17,17,16,16,30,2386,2838,2610,1890,1966,2518,2335,1647,16,16,17,16,16,16,17
3,3045,3278,20,18,3362,14,18,18,7,18,785,399,850,16,2600,2879,1863,3347,390,16,15,16,394,3318,1284,17,16,17,2040,2947,2342,2490,18,16,18,17,17,17,23,2546,2120,1242,1515,2046,947,16,17,17,18,17,16,17,1264,2912,3010,2771,2464,1264,18,17,19,17,18,2530,3023,2214,371,17,17,18,18,17,16,18,20,25,196,842,1824,1556,81,19,19,18,18,20,2098,2882,2650,2098,2110,2530,2362,1768,299,16,17,16,16,17
3,2246,3506,1725,2473,15,18,18,12,18,1139,1678,225,428,3312,2634,2330,2326,18,17,14,17,1835,3356,1176,892,699,2774,2971,2186,2222,18,16,18,17,18,17,26,2350,2216,1720,1718,1976,834,19,18,17,18,18,17,17,1144,2504,3042,2846,2496,1128,17,18,19,17,30,2778,2978,1902,23,17,17,18,18,18,17,18,17,16,93,816,2040,1838,722,18,18,19,18,17,1312,2838,2608,2052,1893,2456,2540,2150,850,18,17,16,16,16,17,115
3,3530,3173,3234,18,17,13,17,17,16,16,17,17,18,17,1357,2762,1760,2728,399,16,17,17,26,3010,2659,25,297,508,2894,2904,1882,1694,18,18,19,18,18,18,18,1272,1050,566,512,968,267,17,18,17,17,18,18,18,25,312,1872,2891,2483,2220,682,18,17,18,17,435,2884,2712,1344,19,18,18,19,18,18,18,18,18,18,27,625,1356,965,246,15,16,16,16,16,903,2338,2390,1906,1844,2409,2410,1908,734,17,17,16,17
4,1842,2414,1686,983,1830,2854,697,18,18,16,17,17,86,25,18,16,16,16,16,16,270,1400,2248,2210,1954,2510,2795,2422,1850,1763,1603,1366,1322,898,439,21,16,17,17,17,17,16,16,16,17,16,17,16,20,17,16,58,740,1514,1686,1176,464,19,16,16,16,16,16,16,16,17,16,16,26,501,874,887,866,1124,1762,2270,2228,1936,1472,725,63,16,16,16,17,17,16,16,17,16,16,17,17,18,17,17,389,1032,1384,1710
4,2753,2811,1946,19,17,18,16,16,16,16,17,17,17,18,17,18,17,18,27,537,1066,1594,2259,2498,2283,2224,2510,2549,2340,2016,1651,1251,607,25,17,17,16,17,17,17,17,16,17,17,18,17,17,17,17,17,352,1145,1854,2141,1795,968,197,17,17,18,17,17,17,16,17,18,20,26,28,130,496,1032,1714,2222,2358,2238,1952,1598,1160,530,18,17,17,17,17,17,17,16,16,16,16,17,17,18,74,428,915,1422,2006,2460
4,1250,1911,1762,810,23,18,17,17,18,18,17,17,16,16,17,17,16,18,17,18,18,17,25,306,3330,2374,18,16,18,18,442,2915,2154,93,18,18,17,18,171,1140,1416,910,18,16,17,915,2154,1584,1232,1499,2106,2656,2123,1472,548,18,17,17,17,17,17,19,18,16,16,17,17,19,16,17,16,16,549,2258,2616,2100,1211,335,18,18,17,17,17,17,17,17,17,17,16,18,17,17,16,18,17,468,1682,2118,1899,1614
4,1469,1923,1530,411,18,17,17,18,17,18,17,16,18,16,19,18,18,18,606,2530,2232,143,17,18,16,17,724,1202,635,18,17,17,16,18,17,16,22,17,16,18,16,882,1346,247,17,16,18,17,26,387,606,665,536,267,150,199,339,461,189,17,16,17,18,17,18,17,17,17,18,430,1068,1378,1330,1078,802,621,573,536,371,26,17,18,18,18,18,18,18,17,17,16,18,22,450,922,1166,1131,899,694,656,801
4,1156,1911,2008,1243,171,17,17,17,18,17,17,16,16,17,18,18,17,16,17,17,17,17,24,309,827,1201,1405,1532,1669,1777,1730,1464,1049,673,462,357,280,122,754,2728,2214,18,18,18,17,17,360,1286,1228,411,20,26,474,1106,1398,1226,591,155,394,1319,2024,2094,2168,2178,2222,2118,1919,1836,1730,1468,1192,1048,1223,1115,81,16,18,16,16,16,17,17,17,17,18,319,933,1226,1208,943,648,490,542,711,876,922,924,1134,1516,1449
4,1192,1898,1851,1010,25,16,17,18,17,16,16,16,17,16,17,17,17,18,17,17,17,17,22,217,690,1042,1207,1268,1376,1495,1718,3162,2467,19,16,16,17,17,535,1475,677,18,17,16,16,16,18,98,694,1371,1620,1930,2666,2598,1964,1503,1290,1234,1256,866,525,295,75,18,17,17,17,18,222,312,21,18,291,906,805,92,16,15,92,791,1346,1186,422,17,17,17,17,17,16,17,16,16,17,18,17,472,1172,1314,1096,1376
5,2567,3430,3050,19,10,12,19,287,3314,2703,561,16,17,18,23,3227,3296,3068,1975,17,17,16,1033,2424,704,18,18,17,622,2590,2642,1398,17,18,18,16,17,1214,1571,17,18,18,16,16,17,17,18,18,17,2966,3090,2805,2200,625,18,18,17,17,18,16,18,16,17,1058,3203,3072,2790,2187,1026,20,18,17,17,17,16,18,18,18,18,16,17,17,18,17,17,18,16,18,17,17,18,16,16,584,2438,2504,1488,210,21,240
5,3044,3056,2652,190,15,16,18,16,17,99,22,16,17,18,16,16,772,2704,2822,2363,1720,1832,2654,2746,2422,2034,2144,2514,2563,2162,1168,18,17,16,16,17,17,17,17,18,18,18,17,16,21,25,18,17,16,24,1028,2082,1882,530,18,17,18,18,17,16,17,17,16,16,507,2266,2920,2723,2326,1967,2154,2674,2746,2378,1470,225,16,16,16,16,16,17,16,18,17,17,17,16,16,16,16,16,1358,2856,2738,2374,2000,2164,2572,2592
5,2789,3094,2510,17,15,18,18,16,858,2166,2390,3162,2414,18,16,17,17,1222,2910,2093,634,16,16,28,1523,2966,2762,2066,835,539,2058,2830,2157,590,17,307,1578,1802,524,16,16,17,18,16,16,16,77,921,972,219,17,16,17,16,18,18,19,17,1545,2856,2482,2144,1920,1322,17,16,17,18,16,16,616,2600,3006,2730,1795,19,16,18,17,17,16,17,16,17,17,16,18,17,18,17,17,17,16,16,16,17,16,17,17,17
5,3000,2792,766,17,16,17,16,443,1278,266,3514,2723,18,14,16,16,16,3393,2152,495,17,17,17,17,1891,3106,2712,2014,18,17,18,3104,2442,1028,18,17,16,1854,1766,740,16,17,16,17,17,26,47,205,440,17,17,15,16,28,16,16,17,17,744,3154,2531,1716,1172,547,16,16,16,17,16,16,14,813,2314,3003,2910,2266,616,17,16,16,17,17,16,16,17,17,17,17,18,16,16,16,16,16,17,17,16,16,16,17
5,1048,2869,2728,1523,18,17,17,17,17,17,17,16,17,17,16,18,17,24,561,898,766,571,931,1782,3280,3144,1749,18,16,17,16,1242,571,16,17,17,16,18,22,1850,2574,1484,16,16,17,23,1711,2058,819,385,2160,3024,2734,2238,66,16,16,16,16,16,17,16,18,18,17,16,16,20,26,16,16,17,17,2328,2854,2396,1706,794,21,17,17,17,17,16,17,17,16,16,24,690,1079,802,489,451,700,1226,2003,2568,2485,2119
5,2110,3370,3075,444,9,11,16,16,2246,2888,1858,17,16,18,19,3150,3148,2766,1462,17,16,1368,3101,2609,782,16,16,17,1208,2440,1114,16,17,16,16,16,166,442,17,17,17,17,16,17,15,14,17,16,1215,3174,2974,2646,1838,16,16,16,16,16,16,15,15,17,1254,3032,3014,2734,1970,509,16,16,16,16,16,16,16,16,16,16,16,15,15,16,16,17,17,18,16,16,16,16,16,17,16,996,2334,2576,2113,1680,1902,2730
6,1185,1462,1306,918,522,81,18,17,17,17,17,17,17,17,18,17,18,18,16,17,17,17,18,232,54,265,2278,2738,2243,424,18,16,17,17,16,17,18,17,17,18,18,17,18,19,18,18,18,18,19,17,18,90,107,18,18,105,1302,2222,2126,1694,887,44,17,18,18,18,198,144,18,18,17,18,17,18,17,18,17,17,16,18,17,18,18,18,18,19,18,128,102,17,16,18,17,28,907,1816,2042,1450,819,691
6,1470,1768,1494,884,354,25,16,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,135,516,804,1007,1251,1515,1715,1758,1594,1258,844,534,330,210,84,24,18,18,17,17,33,652,1017,883,584,333,24,18,18,19,18,17,16,17,18,18,27,128,25,17,18,17,117,1135,1890,1795,1612,1810,2097,2051,1658,950,259,18,17,18,20,24,22,18,18,17,17,18,18,18,17,18,18,18,26,280,595,776,840,814,786
6,1189,1756,1784,1366,734,114,18,19,16,18,18,18,16,18,18,156,1956,2712,1850,18,18,17,17,18,18,17,18,17,18,20,793,1651,1720,794,19,18,18,19,18,285,834,739,517,588,978,1200,992,706,341,18,18,17,17,17,17,38,172,18,17,18,17,19,18,17,18,27,500,740,488,26,18,17,18,18,18,18,21,25,18,18,18,18,25,738,1478,1462,578,23,18,19,25,24,18,18,25,121,350,570,704,605
6,2766,2952,2117,20,17,18,18,17,19,20,18,18,16,18,25,1466,2858,2751,1802,18,17,18,18,19,151,16,17,18,28,2178,2814,2492,1676,17,17,18,18,18,18,899,975,18,18,17,193,1606,1012,18,18,18,17,17,17,18,18,16,21,429,1275,1974,1271,20,18,18,18,1395,2826,2230,552,18,18,16,17,17,16,16,18,18,17,17,18,18,503,814,314,18,18,17,17,18,25,318,488,771,1364,2064,2304,2054,972,18
6,1106,1530,1416,1038,618,173,18,17,18,18,18,18,18,19,19,24,24,18,18,2136,2578,1980,19,18,18,18,18,18,19,17,17,18,18,18,59,338,63,19,18,18,18,17,17,270,1280,401,17,18,288,1522,1698,1178,650,18,16,16,18,18,243,478,16,17,17,18,18,169,408,35,26,153,25,18,18,18,18,18,18,18,87,935,1249,338,18,17,18,26,930,1758,1614,591,34,165,538,430,27,18,23,26,21,18
6,1437,1640,1410,968,509,27,17,18,17,17,16,18,18,18,18,19,19,18,18,18,890,2112,2128,996,91,21,28,259,396,335,47,19,18,17,18,19,19,19,18,18,17,19,18,18,324,616,428,218,358,799,1088,1112,1044,718,266,24,19,23,29,27,19,17,18,18,18,18,348,556,636,846,812,344,18,17,18,19,18,18,19,86,203,24,17,19,18,18,60,555,912,860,588,548,900,1282,1238,944,792,691,505,286
