label,dom_freq,sum_E,decay_rate,spec_ent
2,77420,185284012,-1585.0000000000002,4.263551940448163
2,77420,164488339,-2872.0,4.267542104550929
2,77420,142602049,-3070.0,4.211170773481625
3,66360,141456231,-2842.0,3.863764731616433
3,127190,256744171,-2868.0,4.265208610580195
3,94010,257240223,-794.3999999999999,4.195303594390201
3,94010,264742785,-994.0,4.322541867359702
3,94010,248609146,-902.8999999999995,4.194810981713017
3,82950,208157626,-1167.5,4.3439216216016705
3,71890,177939559,-1240.4000000000003,4.294214314094035
3,82950,238612204,-1348.5000000000002,4.362673021060824
3,94010,289414658,-1148.9000000000005,4.196411803602348
3,154840,283401469,-1523.0,4.350544024006785
3,71890,299628434,-980.1999999999996,4.285247992768671
3,127190,280076474,-1189.8999999999999,4.353766045359903
3,82950,202776506,-1593.0000000000002,4.374620311450096
3,154840,298826665,-859.9999999999997,4.3664889683954
3,99540,252022240,-1231.2000000000005,4.373711664815835
3,154840,260051923,-3331.0,4.398246339599605
3,71890,293332391,-1123.6000000000001,4.2557400580048315
3,11060,202743443,-3129.9999999999995,3.8361041819486896
3,71890,284953766,-922.9999999999999,4.250413521164719
3,11060,205878565,-3335.9999999999995,4.0141847435416596
4,44240,178335825,-727.5999999999997,4.183625740054664
4,77420,229877260,-1096.2000000000003,4.059024591894334
4,49770,214263407,-1039.0000000000005,4.117343301191877
4,44240,193046186,-933.5,4.184917268715183
4,77420,241974366,-1018.9000000000003,4.078404119602772
4,44240,183395500,-956.5000000000001,4.178327981428115
4,44240,211593408,-963.1999999999999,4.147281334093252
4,55300,213048676,-1008.0000000000002,4.0806688981844275
4,44240,214886618,-967.0,4.153583100019055
4,44240,172336986,-948.8000000000001,4.154845980003412
4,44240,196598334,-773.3999999999999,4.164236643569838
4,44240,190821232,-941.9999999999998,4.139826538945536
4,49770,194358055,-992.9000000000002,4.129299759730933
4,60830,219034975,-970.4,4.225513039632206
4,44240,167939819,-912.5000000000001,4.177418196666795
4,44240,199138417,-998.8000000000002,4.105958242599928
4,44240,203055015,-930.3999999999996,4.150616002737866
4,44240,192750787,-819.8999999999996,4.1625851867022705
4,44240,191004015,-807.8999999999999,4.169488328248256
4,44240,185159625,-813.3999999999997,4.159012366950202
5,77420,282867203,-1048.4000000000005,4.119318349281356
5,77420,247085079,-1077.3000000000002,4.128559560138481
5,44240,277754261,-982.6000000000004,4.156211377305583
5,77420,252846389,-1131.4999999999998,3.9125029030778142
5,82950,260271326,-1088.9,4.115581568717724
5,82950,245297735,-999.6999999999999,4.149689956501645
5,82950,310197802,-1082.2,4.1393789187983625
5,60830,282679364,-788.8999999999997,4.1911238393920485
5,44240,277735457,-1035.7000000000007,4.165363639184106
5,77420,243996706,-824.0,3.8596123892447602
5,44240,277200392,-1084.8000000000002,4.2260848767755785
5,77420,277644136,-1016.5999999999999,4.064221022973557
5,77420,223793707,-1017.7999999999998,3.805345041067423
5,44240,243629520,-1009.2000000000002,4.023162885839916
5,77420,298387684,-871.2,4.0085625307752935
5,44240,405613475,-1206.1000000000004,4.32745420958201
5,77420,246032286,-1009.8000000000001,3.880189660708559
5,44240,265039470,-883.8000000000003,4.034972828105788
5,60830,278603702,-1020.8000000000002,4.166722550961264
5,49770,260930737,-972.6000000000003,4.161713294131504
6,66360,156495617,-923.9000000000002,4.344038714893042
6,66360,161425806,-964.1000000000005,4.3241321038055265
6,82950,108147298,-863.4000000000003,4.236896977980545
6,66360,125753299,-884.7999999999998,4.255332551655162
6,33180,103907419,-657.7999999999998,4.242712049726259
6,66360,117406416,-874.0000000000002,4.196263980232342
6,82950,173331014,-545.0000000000001,4.061010402455624
6,66360,145991858,-974.2000000000002,4.260193694718812
6,66360,146637844,-796.1999999999996,4.317572243172389
